stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,3,1,0,0,1,0,0,0,6,0,0,0,0,4,0,8,2,0,0,0,51,20,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0.85,0,0,0,0.28,2.25,40.59,1.13,0,0,0.85,0,0,0.56,0,0,0.85,0,0,0
21Day,0.74,0.37,2.96,12.95,0,2.22,0,2.22,0,0,0,0,0.37,0,0.37,0,4.44,2.59,0.37,3.33,0,2.59,3.33,28.12,0.74,1.11,0,0.37,0.37,4.07,0,0,0.74,0.37,0,0,0.37
3Month,0.31,0.21,0.42,13.52,0,0,0.31,0,0.21,1.04,0,0,3.02,0.73,0.21,2.29,2.91,1.46,1.35,0.62,0,0.52,7.91,0.83,0.21,4.06,0,0,0.52,28.29,0.1,0.1,0,0,0.21,6.03,4.68
22Month,0,0.14,0,6.56,0,0,0.14,0,0.14,1.64,0.68,0,4.1,0.41,0.27,0.82,1.37,0,2.32,0.82,0.27,0.41,4.37,1.64,0,12.71,3.96,0.14,0,17.49,0.14,0,0,0,0.14,0,0.55
