stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,5,1,26,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,2.82,10.99,0,0,0,0,0,0,0,0,0,1.41,2.25,0,0.85,0,0,0,1.13,10.99,4.51,0,0,0,0.28,0,0.28,4.79,0,0.28,0,0,0
21Day,0,0,0,3.33,3.7,0.37,0,0,0,0,0,0,0.37,0,1.48,2.22,0,0,0,0,0,0,1.85,1.11,0,0,0,0,1.48,0.74,0,0,0.74,0,0,0
3Month,0,1.14,0.94,93.62,2.81,0,0.73,5.93,1.77,0.1,7.49,2.5,0.21,33.91,13.63,3.02,2.6,2.29,0.42,0,3.64,9.67,8.53,0.1,5.93,0.31,0,0.21,1.14,22.68,0.73,0,0.42,0.62,105.16,1.77
22Month,0,0.55,0.96,37.17,0.55,0,0,2.32,0.68,0.68,27.88,0,0.14,27.74,2.73,0.82,0.96,0.27,0,1.09,1.09,0.82,3.42,0.27,4.1,0.14,0.27,0,0.41,5.74,0.14,0.14,0.27,0,0.41,0.68
