stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,1,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
72hpf,112.46,0.56,0.56,1.41,0,0,0,0,0,0,0,0.28,1.41,0.56,2.82,0,0,11.56,6.2,0,0,1.41,0.28,0,0.28,0.28,0.28,0.28,0,0
21Day,94.35,0.74,6.66,2.22,0,0,0,0.74,0.37,1.11,0.74,0,2.22,0,5.55,0.37,0,6.29,4.07,0,0,2.96,0.37,0.74,0,0,0.74,0,0,0.37
3Month,1.98,0,0.1,0,0,0,0.42,0.42,0,0,0.21,0,0.1,0.1,0.31,0,0.31,0,0,0,0.1,0,0,0.42,0,0,0,0.1,0.21,0.21
22Month,0,0,0,0,0.14,0.14,0,1.23,0,0,0.14,0,0,0.14,0.41,0.14,0,0,0,0.14,0,0,0,1.37,0,0,0,0,0,0
