stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,1.48,0.37,0,0,0,0,0,4.44,0.37,0.37,3.7,0.37,0,0,0,0.37,0,0
3Month,0.1,0.1,5.51,0,0.21,0.1,0.62,0.1,0.21,5.93,0.1,0,0,0,0.1,0,0.1,0,0.31,0.31
22Month,0.27,0,0.41,0,0,0,1.09,0,0.41,0.55,0.55,0.27,0,0,0.14,0.14,0,0,0,0
