stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,0,0,0.28
3Month,0.1,0.31,0.1,0,0.21,0.83,0.1,0.21,0.1,0
22Month,0,0.14,0,0.14,0.27,0.55,0,0,0,0
