stage,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,7.05,0,0.28,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0.37,1.11,0.37,0,0,0,0,0,0,0
3Month,0,0.21,0.42,0.1,0.31,0,0,0.31,0,0.1,0,0.1,2.91,0.52,0.1,0.1
