stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56
21Day,0.37,0.37,0,2.59,2.96,0,0,0,0,0,0.37,5.18,0.37,0.37,0.37,0.37,2.59,0,0,0.74,0,1.85,0.37,0,0.37,0.74,0.74,0,0,0,17.76
3Month,0,0.1,0.21,2.08,0,0.1,0.31,0.1,0,2.5,0.83,0.21,0.42,0.1,0.31,0.52,0.83,0.1,0,0.31,0.1,0,0,0.1,0,0,0.21,1.04,0,0.1,16.54
22Month,0,0,0,0.14,0,0,0,0.14,0.14,2.32,0,0,0.14,0,0.27,0.68,0.68,0,0.14,0,0,0,0,0,0,0,0,0,0.14,0,11.21
