stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,3.66,0,0.28,0,0,0,0,0.28,0.28,0,0,0,0.28,0,0.28,0,0,0
21Day,0,4.44,0,1.11,0,0.37,0,0,0,0.37,0,0.37,0.37,12.95,2.22,0,0.74,0,0,0,0,1.48,1.11,0,0,0.74,0,0,0,0,0,0
3Month,0,2.6,0.1,0,0.1,0,0.42,0.73,0,1.98,0.21,0,0.94,9.88,0.62,0.42,0.83,0.1,0.21,0.52,0.1,0,0.1,0.1,0.1,0,0,2.6,0,0.21,0.31,0.52
22Month,0.14,3.42,0,0,0,0,0,0.14,0.14,0.68,0,0,0.14,3.69,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
