stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,351,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,5,18,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0
72hpf,210.82,0.28,0,1.41,0.28,1.69,0,0,0,0,0,0,0,0.28,0,0.56,3.66,0.28,3.66,0,0.28,0.28,9.58,8.74,0.56,0,2.25,0.28,0,0.85,0.28,0,0,0,0
21Day,243.45,0.37,0.74,2.96,1.85,4.07,0,0.74,0,0,0,0.74,0,0.37,0.37,0,2.96,0.74,4.44,0,0.74,0,7.4,3.7,0,0,2.96,3.33,0,0,3.7,0.37,0,0,0
3Month,10.19,0.1,0,5.72,0.1,0,0,0.1,3.33,0.52,0,1.56,0.62,0,0.73,0.21,6.14,0.52,1.14,0.21,0.1,0.94,0,0.31,0.1,0.21,0,0.1,5.51,0,0,0.1,0.1,0.1,0.1
22Month,5.33,0.14,0.27,0.96,0,0,0.14,0,0.96,0.14,0,3.55,0.14,0.14,0.41,0.96,1.64,0.55,1.91,0,0,0,0,0.14,0,0,0,0,1.37,0.14,0,0,0,0,0.27
