stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0.56,0.28,0.85,0,0,0,0,0,0,0,0,1.69,0.28,0.56,0,0,0,0,107.1,6.48,0,0.56,1.97,0,0,0.56,5.07,6.2,0,0,0,0
21Day,2.22,0.74,6.29,5.18,0.74,0,0.37,0.37,0,0.74,0.37,0.37,3.7,0,7.03,0.37,0,1.11,0,144.66,2.96,0,1.11,2.22,5.92,0,1.48,8.14,38.11,0.74,0,0,0.74
3Month,0,0.1,1.14,0,0,0.1,0.31,4.78,0.1,0,0.83,0.21,0,0.21,0.31,0,0,0.1,0,1.25,0,0.31,0,0.1,0.31,2.81,0.31,0.42,0,0,0.1,0.62,0.21
22Month,0,0.14,0.27,0,0.14,0,0.41,6.29,0,0.14,0,0.14,0.14,0,0.27,0,0.14,0,0.14,3.14,0,0.27,0.55,0.14,0,3.69,1.5,1.09,0.14,0,0,0,0.14
