stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0.28,0,0,0,12.12,0.28,0,0.56,1.13,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0.37,0,4.81,0.74,0,0.37,0.37,0.37,0,1.48,0.37,0,0.37
3Month,0,0.42,0,0,1.46,0.21,0.21,0.1,0.1,0,0,0.1,0,0,0.1,0,0,0,1.56,0,0,3.74,0.21
22Month,0,0,0,0.14,1.23,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0
