stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.41,0,0.28,0,0,0,0,0.28,0.56,0,0.28,0,0,0.28,0,0,0,0
21Day,0.37,0,0,15.91,2.22,0.37,0,0,0,0.37,0,0.37,0.37,0.74,8.14,0.74,2.59,0,0,0,0,0.74,0.37,0,0.37,0.74,0.74,0,0,0,0,0.37
3Month,0,0,0,8.43,0,0,0.62,0.1,0,0.94,0.1,0.21,0.52,0,2.29,0.1,0.42,0.31,0,0,0.1,0,0,0,0,0,0.31,0,0,0.31,0.1,0.42
22Month,0,0.55,0.55,7.93,0,0,0.68,0.82,0.41,7.38,0.14,0.27,7.38,0,1.37,1.23,1.78,0,0.27,0.41,0,0.14,0,0.27,0,0,0.96,0,0.14,0.41,0,0
