stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,12,86,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.05,2.82,0,6.2,1.13,8.74,0,0,0,0,0,0,0,0,0,2.82,10.99,1.41,9.58,0,0,0,1194.19,104.85,3.95,6.2,17.19,0.28,0,16.63,1.13,0.85,0.85,0,0
21Day,4.44,0.37,1.11,6.29,1.11,7.77,0.37,0,0.37,0.74,0,1.48,0.74,2.59,0.37,0,4.44,1.85,7.03,0,0,0.37,284.89,15.54,2.59,2.96,2.96,8.51,0.37,2.96,0.74,4.81,1.11,0,1.11
3Month,0,0,0,1.35,0,0,0,0,0.1,0.42,0,1.25,0.42,0.1,0.83,0.42,0.42,0.31,0.31,0.31,0,0,3.43,0.31,3.43,0.1,0,0.1,2.18,0.1,0,0,0,4.37,0.21
22Month,0,0.41,0,0.41,0.14,0,0,0.14,0.27,0.82,0.27,10.25,0.41,0,0.68,0,0.27,0.41,0.55,0,0.14,0,3.69,0.41,3.69,0.82,0,0,4.51,0.41,0.14,0,0,0.14,0
