stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,6.76,0.85,0,0,0,0,0,0,0,0,0,2.54,0,1.41,0,0.28,0,0.56,7.89,22.83,0.28,0.28,1.41,0,0,29.59,0.28,0,0,0
21Day,0,0.37,1.48,5.92,0.37,0,0,0,0,0,0,0,0,0,1.48,0,4.81,0,0,0,0,1.11,3.33,0,0,0.74,1.11,0.37,7.4,0.37,0,0,0
3Month,0.21,0.1,10.3,2.29,0,0,0.31,0.31,0,3.43,0.52,0.1,0.52,1.35,0.62,0.62,1.56,0.31,0.1,0.1,0.62,0.1,0.21,0.52,0,0,0.42,1.04,0.52,0,0.31,0.1,0.21
22Month,0.68,0,2.73,0.27,0,0.14,0,0.55,0.55,6.83,0.55,0,0.82,0,0.27,2.87,0.27,0,0.27,0.27,0,0.27,0.27,0.14,0,0.14,0.27,0.68,0.55,0,0,0,2.46
