stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0.28,0.56,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0,10.43,0,0.56,4.23,1.97,0,1.13,0,0,0,0.28,0,0
21Day,1.48,0,0,2.96,0,1.48,0,0.37,0,0,0,0.37,0,0.37,0,0.37,1.48,1.11,17.02,0,0,3.7,1.85,0.37,1.48,1.48,0,0.74,0,0.74,1.85
3Month,0,0,0.1,0.62,0,0,0,0,0,0.21,0,1.98,0.21,0,0.83,0.1,0.83,0.1,1.87,0.1,0,0,0,0,0,0.21,0.21,0,0,0,0.21
22Month,0,0.14,0,0.82,0,0,0.14,0,0.14,1.23,0.14,4.51,0.14,0,0.41,0,0.14,0.27,4.1,0.14,0.14,0.14,0,0,0,0,0.14,0.27,0.41,0,0.55
