stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0.37,0,0.37,0,0,0.37,1.48,0.37,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,4.44
3Month,0.1,0.31,0,1.35,0,0.42,0,1.35,4.78,0.42,0.31,0.1,0.31,1.87,0.52,0.21,0,0,0.1,0,0.1,0.21,0.52,0.1,0,0.1,0.1,17.89,12.69
22Month,0.14,0.41,0.14,0.68,0.14,0.55,0.41,10.8,2.05,0.55,2.32,0,0,2.32,0.82,0.14,0.41,0,0,0.14,0,0,0.82,0.14,0.14,0,0,0,5.19
