stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0.56,0,0,0.85,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0.85,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.85,0,0,0.37,0,0,5.18,0,0,0.37,12.21,5.55,0,0,0.37,11.1,1.48,0,0,0,0,1.85,0,0,0,0,0.37,0,0,0,0,0,0,0,1.48
3Month,0.21,0.62,0.42,8.63,0,0,0.31,0.21,4.68,41.61,0,0,14.98,510.31,1.56,4.47,0.83,1.98,29.96,16.95,4.58,0,1.14,1.04,1.04,0,0.21,0.42,0,0.31,0.73,1.77,2.81,0,0,2.29,3.54,8.63
22Month,0.14,1.91,0.41,1.23,0.14,0.68,0.82,0,4.24,64.09,0.27,0,12.3,196.64,4.37,0.82,0,0.41,23.78,6.29,0.27,0.68,0.55,0,0.14,0,0.55,0.14,7.65,0,0.82,0,14.62,0.14,0.14,0.14,0.14,4.1
