stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,33,1,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.13,2.54,0.28,0,0.28,0,0,0,0,0,0,0,1.69,0,0.85,0,0,0.28,9.02,5.64,0,0,0.56,0.28,1.69,0.28,0,0,0,0
21Day,0.37,0,0.37,3.33,2.22,0,0,0,0,0,0,0.37,0,0,0.37,1.48,0,0.74,0.37,0,0,2.22,2.22,0,0,0,2.22,0.74,0,0,0,0.37,0
3Month,0,0.1,0.1,0.94,0,0,0.1,0,0.52,0.1,0,0.94,0.21,0.31,0.31,0.42,0.1,0.31,0,0.1,0,0,0,0.1,0.1,0,14.35,0,0,0,0.21,13.83,0.94
22Month,0,0,0,1.5,0,0,0,0,0.55,0.14,0.27,3.55,0.27,0.68,0.14,0.27,0.41,0.82,0,0,0,0.14,0.14,0,0,0,1.5,0,0,0.14,0,0,0.27
