stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0,0,1.13,0,0.28,0.28,5.64,5.07,0,0.56,1.97,0.56,0.28,0,0.28,0,0,0,0,0
21Day,0.74,0.37,0.37,4.07,0.37,0,0.37,0.37,0.37,0.74,12.21,0,5.55,4.07,28.86,9.25,0,0,12.21,2.96,1.85,0,1.11,1.11,0,0.37,0,21.46
3Month,0.31,0.21,0,1.04,0,0.1,0.1,0.1,0,0.31,0.52,0.31,0.52,0,2.5,0.42,0.1,0,0,0,0,0.1,0,0.1,0.1,0,0.1,9.88
22Month,0,0,0.14,0,0,0,0,0.14,0.14,0.41,0.14,0,0,0,1.64,0.14,0,0,0,0,0,0,0,0,0.14,0,0,1.91
