stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,1,38,0,0,0,0,0,1,0,1,2,0,0,0,1,11,1,194,0,1,0,0,6,712,0,0,38,0,0,0,0,0,0,0,0,0,0
72hpf,7.89,0.56,12.12,1.41,3.95,0,0,0,0.28,0,0,0,0,0,0,1.97,17.47,0.28,82.3,0,2.54,0.28,0,55.24,144.59,0.56,0,83.43,0.28,0,0,38.05,0.28,0,0.56,0,0,0
21Day,3.7,0,14.43,0,2.59,0,0,0,0,0,0,0,0.37,1.48,0.37,0,2.96,0.74,105.82,0.37,0,13.69,0,20.72,37,0,0.74,25.9,5.18,0,0,15.54,0.37,1.85,2.96,0,0,0.37
3Month,0,0.21,14.67,0.52,0,0.1,0.1,0.94,0.62,0,0,2.18,0.73,0.83,1.25,0,1.87,0.94,17.89,0.21,0,1.25,0.1,0.21,1.35,0.83,0,0.62,0.21,0.1,2.18,0.94,0,0,1.98,11.55,0.83,0.52
22Month,0,0.41,2.19,0.14,0,0,0,0.14,1.09,0.68,0,4.92,0.41,2.73,0.27,0.14,0.96,2.6,6.7,0,0,0.96,0,0.27,0.68,2.32,0.14,0,0.14,0,1.09,2.19,0,0,0.55,0.55,0,0
