stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0.56,0,0,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0.31,1.46,0.21,0,0.52,8.43,0,2.29,0.83,0,1.14,0.83,0.42,0.94,0.1,0.1,0.1,0.73,0.31,0,0,0.31,63.35,0.31,27.36,0.62
22Month,0.27,0.14,0,0,0,0.68,0.14,1.09,0,0.14,0.41,0.14,0,0.41,0,0.27,0,0,0,0,0.27,0,12.85,0,0.14,0
