stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,2,0,5,0,5,3,3,0,0,1,0,0,0,18,13,0,0,1,1,90,1,2,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,1.69,0.56,3.95,1.97,0,0,0,0.56,0,0.56,1.13,0.28,4.79,0.28,0,0,8.17,10.99,0,3.1,0.28,0,1.41,0,0.28,0.28,0
21Day,0.37,0.37,0.37,4.44,0.37,56.24,35.15,0,0,0,2.96,1.11,0,3.33,0.37,2.59,0,0.74,0,7.77,3.33,0.74,0.74,1.48,0,1.11,0.37,0.74,0,0.74
3Month,0,0,0,0.1,0,0,0.1,0,0.1,0.31,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0
22Month,0,0,0,0.14,0,0,0.27,0.27,1.09,0,0.68,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
