stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0.85,0.85,0,2.25,0,0,0,0,24.52,3.38,0,0,2.82,0,1.69,0.85,0,0,0,0,0
21Day,2.96,0,0,2.59,0,0.37,0,0,0,0,0.37,0,0,1.11,0.37,2.59,0.37,3.7,0,0,0.74,0,8.88,1.11,0,1.11,2.22,0,0,1.11,3.33,1.11,0,0,0
3Month,0.1,0,0.52,4.37,0.21,0,0,1.35,0.42,0,1.14,0.31,0.1,11.44,0.62,0.62,0.42,1.46,0.31,0,2.5,1.14,0.31,0,0.52,0.1,0.31,0.31,0.21,0,0,0.31,0.1,0.21,0.31
22Month,0.14,0.41,1.23,3.69,0.14,0,0.14,1.64,0.68,5.74,30.2,0.14,0,15.3,0.55,0.96,0.82,2.73,0.14,0.68,1.78,0.41,0.27,0.14,0.27,0.14,0.14,0,0.82,0.27,0,0.41,0,0,0
