stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,3,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0
21Day,0,0,0,0,0,0.37,0,1.48,0,0.37,0.37
3Month,0,0,0.1,0.42,1.04,0,0.21,0.21,0,0,0.94
22Month,0.14,0.14,0.41,0.82,0.27,0.14,0,0.41,0,0,0.41
