stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,24,0,0,0,0,0,0,21,0,0,0,0,10,2,2,11,0,0,0,0,6,33,2,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,7.61,0.56,0.28,0,0,0,0,0,0,0,0,0,6.76,4.79,0,1.41,0,0,0,0,40.02,3.95,0,0,1.69,0,0,0.85,0,0.56,0,0,0
21Day,0.37,0,0.74,44.4,0.37,1.85,0,0.37,0,0,0,0,0,0.37,0.74,14.8,4.07,0,4.44,0,0,0.37,0,5.55,2.96,0,0.37,1.48,0.74,0,0,0.37,0,0,0,0.37
3Month,0.1,0.31,1.66,55.86,0.1,0,0.1,4.89,0.52,0,0,1.98,1.66,0,2.39,31.1,1.98,1.14,1.98,0.21,0.1,0.73,0.21,2.5,0.1,0.21,0.1,0.1,0.62,4.68,0,0,0,0.31,1.25,1.98
22Month,0,0.68,15.85,44.41,0.14,0,0.14,4.37,0.41,0.68,0,9.43,0.14,0.14,2.05,1.64,0.82,0.96,1.09,0.14,0.55,0,0,1.64,0.14,0.14,0.27,0,0.14,3.55,0.14,0,0,0,0,0.14
