stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,1.69,0.56,0,0.28,0,0,0,0.85,1.97,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,1.85,0,0,0,0,0
3Month,0.1,0.42,0.73,3.02,0,0,0,0.1,0.31,0.42,0,8.11,0.42,0,1.04,0.94,1.35,0.52,1.04,0,0.31,0.62,0.21,0,0,0,0,0,0.73,54.71,0.31,0,0.62,23.09,0.21
22Month,0,0.82,0.41,2.73,0.14,0,0.14,0,0.41,0.55,0.27,30.06,0.14,0.14,0.55,0.96,0.41,0.27,0.41,1.37,0.14,0,0,0,0.27,0.14,0.82,0.14,0.14,12.57,0,0,0.14,0,0
