stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,5.64,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,4.51,12.12,0,0,1.69,0,1.69,1.41,0,0,5.36,0,0,0,0,0,0,0,0
21Day,3.33,5.18,0.37,0.74,2.22,0,0,0,0,0,0,0,0.37,1.85,0,0,0.74,33.67,36.63,0,0,7.4,0,1.11,0.37,0,0,5.55,2.96,0,0.37,0.74,0.74,1.48,0,1.11
3Month,0.21,33.81,0.73,4.89,0,0.31,0,0.42,1.04,2.08,0,6.03,1.35,0.42,3.33,1.04,1.35,41.92,22.26,4.26,0,1.35,0.21,0.21,0.21,0.31,0.1,1.87,0.94,1.14,0.42,0,0,118.37,1.04,1.25
22Month,0.41,41.68,0.27,0.68,0,0.14,0.41,0,0.14,1.64,0.96,11.75,0.14,0.27,1.09,0.14,0,25.69,24.32,0.55,0.68,0.41,0,0.14,0,0,0,0.27,0.14,0.96,0,0,0,17.76,0,0.41
