stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,11.84,0,0,0.28,0,1.13,1.41,0,0,9.3,0,0,0,0,0,0
21Day,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,6.29,0,0,0.37,0,0,0,0,0,1.48,0,0.37,0,0,0,0
3Month,0,1.77,0.1,1.87,0,0,0,4.89,0.42,0.42,0,3.22,0.52,0.1,0.83,0.1,0.73,0.52,9.78,0.42,0,1.35,0.1,0.1,0,0.31,0.1,0,0.42,17.27,0.31,0.21,9.36,0.62
22Month,0,5.74,0.27,0.68,0,0.27,0.14,1.64,0.27,0.14,1.5,6.97,0.41,0,0.82,0.27,0.41,0.96,6.7,0,1.09,0.55,0,0.14,0,0.27,0,0,0.14,0.14,0.14,0,0,0.14
