stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,12.68,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.85,0.28,0,3.1,0,0,0.28,0,13.53,1.41,0,0,0,1.13,0,0,0.28,0,0,0.28,0,0,0
21Day,10.73,0.37,0,0.37,0.37,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0,1.11,0,0,0.37,0,2.96,0,0,0,0,0.37,0,0,0.37,1.85,8.88,0,0,0,0
3Month,10.3,0.42,0.1,8.84,0,0,0.1,0.1,1.25,0.83,0,2.18,0.21,0.52,0,3.85,2.91,5.82,1.25,0,0.1,0.21,0,0.1,0.31,0.1,0,0,0.31,13.31,0.1,0,0,0.31,0.1,2.08,0.31
22Month,9.7,1.64,0,2.6,0,0,0,0,0.82,0.68,1.64,8.75,0.41,1.64,0,0.96,1.09,7.38,0,0.41,0.41,0,0,0,0,0,0.68,0,0,8.06,0,0.14,0,0,0,0,0.14
