stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0.28,0,0,0,0,0.85,0.28,0.28,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0.37,1.11,0,0,0,0,0,0
3Month,0.1,0.52,0,0.1,0.83,0.1,0.52,0,0,0.1,0.21,0.1,0.1,0,0,0,0,0.21,6.35,2.6,0.42
22Month,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0
