stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.28,13.25,0,0,0,0,0,0.28,0,0.56,0,0,0,0,0
21Day,0,2.96,0,0,0,0,0,0.37,4.44,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.21,15.5,0,0.1,0,0.94,0.42,1.35,0.42,0,0.21,0,0.1,0.21,0,0,0.1,1.04,0,0.1,2.91,0.42
22Month,0,2.19,0,0,0.27,2.19,0.55,0.27,0.14,0.41,0.27,0.14,0,0,0,0.14,0,0.68,0.14,0,0,0.14
