stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0,0
21Day,0,0,0.37,0.74,0.37,0,0,0,0,0.74,0,0,0,0,0.37,0.37,0,0
3Month,0,0,0.42,0,0,0.1,0.52,0.1,0.52,0,0.1,0,0.21,0.1,0,0,0.1,0.21
22Month,0.27,0.14,0.27,0,0,0.14,1.64,0.14,0.14,0,0.14,0.14,0.14,0,0,0,0,0.14
