stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.28,0,0.28,0,0,0,0,0,0.28,0.28,0,0,0,0
21Day,0,0,0.37,0.74,0.37,0,0.37,0,0,0,0,0.37,0,0.37,0,0,9.99,2.96,0,0,0,0.74,0.37,0,0.74,0,0,1.85,1.11,0,0,0,0
3Month,0.21,0,1.35,0,0,0,0,0.1,0.1,0.31,0,1.04,0.42,0.1,0.52,0.21,24.13,2.29,1.04,0.31,0.1,0.1,0.1,0,0,0.31,0.73,0,0,0.1,0.1,0.21,0.42
22Month,0,0.14,0.82,0,0,0.14,0,0,0.14,0.41,0.14,5.47,0.41,0.41,0,0,14.62,0.96,0.14,0.27,0,0,0,0.14,0,0,0.68,0,0,0.14,0,0,0.41
