stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,2.54,0.56,0.56,0,0,0,0.56,1.41,0,1.41,0,0,0.28,0,0.28,0,0,0
21Day,0,0,4.07,0,0.37,0,0.37,0,0.37,0,0,0,1.48,0.37,0,2.59,1.48,4.07,0,0,0,0.74,0.37,0.37,1.11,0.37,0,1.48,0.74,0.37,0,0,0.37
3Month,0.62,0.42,17.37,0.21,0,0.1,0.42,0.94,5.41,0,6.87,4.68,1.14,6.24,0.31,5.82,5.3,1.25,0.62,0.31,0.62,0.1,0.1,1.14,0,0.21,0.73,0.31,0,0,1.87,0.31,6.55
22Month,0.41,0.96,2.6,0,0,0,0.14,0.55,3.42,0.82,11.07,1.5,1.64,5.74,0,0.96,3.83,2.32,0,0.14,0.14,0,0.14,0.27,0,0.27,0.14,0.41,0,0,0.14,0,0.96
