stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.11,0.74,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0
3Month,0.1,2.7,16.75,0.1,0,1.14,0.21,0,1.66,0.21,0,0.52,0.62,0.21,0.62,0.1,0.42,0,0.21,2.81,0,0.1,0,0,0.52,0.42,0.1,0.31,0.21
22Month,0,2.19,31.7,0,0.14,2.87,0.14,0.41,3.55,0,0.14,0.68,0.68,0,0.68,0.55,0.14,0.14,0,0.14,0,0,0.14,0,0.41,0.14,0.14,0,0.27
