stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,10.36,1.48,0,0,0,0,0.37,0,0.37,5.18,1.85,0.74,0,1.85,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0.1,10.92,0,0,0,0.52,0.21,0,0.31,3.43,0.52,0.62,0,0.21,1.77,0.21,0.31,0.1,0,0,0.62,0,0.1,0.1
22Month,0.14,0,3.69,0,0.14,0.14,1.37,0,0.14,0.41,0.14,0.27,0.14,0.14,0,0.27,0.14,0,0,0.27,0,0.14,0,0,0
