stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0.28,0,2.54,0,0,5.36,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,8.14,0,0,6.29,0,1.48,0.37,0,6.66,0,0,0,0,0,0,0
3Month,0.1,0.1,2.08,0,0,0.1,0.31,0.94,0,2.81,0.52,0.73,0.1,0.52,0.21,39.01,1.25,0,0.42,0.21,0,0,0,0.1,0.21,10.61,0.1,0.1,0.1,12.69,0.21
22Month,0.68,0.27,0.41,0,0,0.82,0.14,0.82,0.14,7.65,0.55,0.82,0.14,0.41,0.55,55.07,0.27,0.55,0,0,0,0.14,0.14,0.27,0,3.14,0.41,0,0,0.27,0.27
