stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.85,0,1.41,0.28,2.54,0,0.28,0,0,0,0.28,0,0,0,1.13,2.54,0.56,21.7,0,0.28,0,24.8,10.43,0,0,3.66,0,0,0,1.69,0.56,0,0,0,0,0
21Day,3.7,0,0,5.55,0,5.18,0,0.74,0,0,0,1.48,1.48,2.59,1.85,0,2.59,0.74,22.94,0,1.11,0,8.51,6.29,0.37,0,3.33,1.11,0,0,1.11,0.37,1.85,0.37,0,0,0
3Month,0,0,0.1,4.89,0,0,0.1,0,0.42,1.87,0,2.81,43.06,0,1.04,0.31,0.52,1.14,1.14,0.1,0.52,0.21,0.21,0,0.21,0,0,0.1,0.1,1.35,0,0,0,0,1.25,5.62,0.62
22Month,0,0.27,0.14,1.23,0,0,0.14,0,0,1.91,0.55,5.74,7.79,0.68,0.55,0,0,1.5,0.82,0,0.27,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0.14,0,0,0.27
