stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0.1,3.12,0,0.1,0,0.42,1.14,0,8.53,1.46,0.21,1.77,0.31,0.62,1.04,1.77,0.1,0,0.21,0.31,0,0,0.42,0.1,0,0,1.66,0.1,0.1,0.31,0.42
22Month,1.37,0.27,1.91,0,0.27,0.41,0.41,2.46,1.09,51.24,1.64,0.82,5.74,0.55,0.27,1.37,5.06,0,1.5,0.96,0,0.41,0,0.41,0.96,0.55,0.14,0.41,0.41,0.41,0,0.96
