stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0.28,0,1.13,0,0.85,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0
3Month,0,0,2.29,0,0.31,0.62,0.42,0.31,0.21,0.1,0,0.21,0.1,0.21,0,0,10.71,2.29,0.42
22Month,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,3.28,0,0
