stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,0.56,0,1.13,6.2,2.54,0,0,0,0,0,0,0,0.56,7.33,1.13,3.66,0,0.56,0.28,291.99,9.58,0,8.46,5.07,0,0,2.54,0,0.28,0,0,0,0
21Day,1.85,0,0.37,1.85,3.33,2.59,0,0.74,0,0,0,0.37,0.37,0,2.59,0.37,5.55,0,0.37,0.37,84.73,2.22,0.37,5.92,0.74,2.22,0.37,0.37,0,0,0.74,0,0,0.74
3Month,0,0.1,0,3.64,0.31,0,0.1,0,0.31,2.08,0.52,0.1,0.21,0.21,0.73,0.94,2.39,0.52,0.31,0.83,2.18,0.21,0.73,2.81,0,0,1.98,0,0,0,0.1,0.1,0.1,0.31
22Month,0,0.14,0,0.27,0.27,0,0,0,0.27,4.92,0.27,0,0.27,0,0,0.55,2.87,0.27,0,0.14,0.96,0.14,0.68,0.96,0,0,2.6,0.14,0.14,0,0,0,0,0.14
