stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,T_cell
24hpf,1,0,0,0,0,0,1,1,1,2,0
72hpf,0,0.28,0,0,0,0.28,0.56,0,0,0.28,0
21Day,0,0.37,0,0,0,0.37,0,0,0,0,0.37
3Month,0.1,0,0,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0.14,0.14,0.14,0,0,0.82,0,0,0
