stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,28,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,1,279,0,0,0,0,0,1,0,0,0,0,0
72hpf,1.97,0,0,98.65,0,3.38,0,0,0,0,0,0,0,0,0,0.85,3.95,0.28,10.15,0.28,0,31.29,88.78,0.56,0,14.94,0,0,28.47,0,37.49,0,0,0
21Day,1.85,0,0.74,156.5,0.37,5.18,1.85,0.37,0.37,0,0,0.74,0,1.48,0.37,0,7.03,1.48,11.84,1.11,0,10.36,14.43,0,0.37,43.29,4.07,0,9.62,1.85,25.53,0,0,0.37
3Month,0,0.1,0,6.24,0,0,0,0,0.1,0.1,0,0.62,0.31,0,0.1,0,17.37,0.21,0.1,0.1,0.1,0,0.1,0,0.21,1.98,0,1.04,0,0,0.1,0.1,0.1,0.21
22Month,0,0,0,0.27,0,0,0,0,0,0,0,0.27,0,0,0.27,0,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
