stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0,0.21,0,0,0.1,0,0,1.46,0.21,0.83,0,0.1,0,0,0,0.21,0.1,0,0,0,0,0,0,0.42,0,0,0.1,0.1,0.83,0
22Month,0.68,0.27,0.41,0,0.27,0.55,0.96,252.12,12.71,0.41,5.19,0.14,0.27,1.23,0.68,0.27,0.14,0.27,0.14,0.14,0.14,0.41,0.68,0.14,0.55,0.14,0.14,0,0.27,0.14,0.14
