stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0,0,0,0
21Day,0,0,0.74,0.37,0,0,0,1.48,0,0.37,0.74,0,0,0.74,0,0,0,0.37,0,0,7.4
3Month,0.1,0.21,0,0,0.83,0.52,3.22,0.1,0.1,0.21,0.1,0,0.1,0,0.21,0.1,0.1,0,0.21,0.1,1.14
22Month,0,0,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68
