stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,9,0,8,1,0,0,0,1,0,0,0,0,2,0,3,20,0,0,0,1,2,284,0,0,3,0,0,0,0,0,4,0,0,0
72hpf,3.95,14.94,0,2.25,1.13,0.85,0,0,0,0,0,0.28,0,0.28,4.79,0.28,55.81,0,0,0,0,48.2,73,0,0.28,33.54,0,0,14.09,0.28,0,3.1,0,0,0
21Day,2.22,8.14,0.37,6.66,0.74,2.22,0,0,0,0.74,0.37,1.11,0,0.37,2.22,0.37,62.53,0,0.37,1.11,0,14.06,18.5,0.37,0.37,9.99,1.85,0.37,2.59,0.37,0.37,1.48,0,0,1.11
3Month,0,11.13,0.1,1.14,0,0,0.1,0.1,0.31,1.14,0.42,0,0.21,1.04,0.52,0.31,2.6,0.31,0,0.73,0.1,0.1,0.1,0.1,0,0.52,0.1,7.28,0.31,0,0,0.1,1.04,3.95,0.1
22Month,0,10.66,0,0.82,0.14,0,0,0,0.14,1.91,0.27,0,0,0.27,0,0.27,1.37,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0.27,0,0.14,0
