stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,13.81,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,6.29,0.74,0,0,0.37,0,0
3Month,0,0,0,0,0,0.1,0.21,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0,0
22Month,0,0.14,0,0.14,0.14,0.27,5.06,0.41,0.14,0.41,0,0.27,0.14,0.14,0.14,0,0,0.14,0.14,0,0.14,0.14
