stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.85,0.56,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0.1,0.94,0.1,0.31,0.21,45.98,0.42,0.83,0,0.52,0.31,0.52,0.1,0,0.21,0.1,0,0,0.1,0.73,0.83,0.21,0.31,0.42
22Month,0,0.27,0,0.14,0,8.2,0,0.68,0,0,0.14,0,0,0.27,0,0,0,0,0,0,1.09,0,0,0
