stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,7,0,3,0,0
72hpf,1.13,0,0.28,10.43,0,0.28,0.56,0,0,0.56,0.28,0.28,0
21Day,0,0,0.74,0.74,0,0,0,0.37,0,0,0,0,0
3Month,1.25,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0.1
