stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,36,0,1,0,0,0,0,0,1,0,0,0
72hpf,0.56,0.28,0,0,0,0.28,1.69,0,0,0,0,0.56,1.13,0.28,0.56,0,0,0.28,25.65,3.38,0,0.85,0,0,0,0.56,0,0,0,0,0
21Day,1.11,0.37,0.37,4.44,0.74,5.18,1.48,1.11,0.37,0.74,0,0.37,1.85,0,7.4,0,1.11,0,112.11,5.55,0.37,1.48,2.59,0,1.48,1.11,1.48,0.37,0,0,0.74
3Month,0.1,0.1,0,0.21,0,0,14.56,0.73,0.21,0.1,0.42,0.31,0.1,0.31,0.73,0,0,0,2.5,0,0.1,0,0.21,0,1.14,0.42,0,0.1,1.25,0.21,0.42
22Month,0,0.41,0.14,0.27,0,0,11.62,1.5,0.14,0,0.14,0,0.14,0.68,0.41,0.14,0.27,0,7.93,0,0,0.14,0.14,0.96,3.28,0.27,0,0,0.14,0,0
