stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.28,0,1.69,0,0,5.64,6.2,0,0,0,1.13,0,0,0,1.69,0,0,0,0,0
21Day,0,0,0,0.74,0,0.74,0,0,0,0,1.48,0,0.37,0,0,0.37,0,1.85,0,0,0.37,0.37,3.33,2.59,0,0,0,0.74,0,0,0.74,1.11,0.37,0,0,0,0
3Month,0.42,0.94,3.64,12.07,0.31,0,2.18,2.18,1.87,0.21,760.88,4.47,0.73,18.93,2.18,2.81,3.02,9.99,2.39,2.08,1.98,5.51,0.31,0.1,4.06,1.14,0,0.62,11.86,0.31,2.18,1.04,0,0.31,1.87,1.25,1.98
22Month,0.68,1.5,1.5,6.83,0,0,4.92,1.5,3.01,1.09,1242.42,1.09,1.5,25.55,0.14,0.27,2.19,7.24,0.68,66.68,0.96,0.27,0.41,0.14,2.6,2.05,0.82,0.14,2.46,0,1.37,1.5,0.27,0,0.27,0.14,1.78
