stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,2,0,0,53,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0.85,0,1.97,0,1.13,0.85,0.28,0,41.71,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0
3Month,0,0.42,0,0.1,0.1,0.73,0.1,0,0.1,0.31,0,0.1,0.21,0.1,0,0,0,12.07,0.1,0,0.1,0.1,0.1
22Month,0,0,0,0,0,0.82,0,0.14,0,0,0.27,0,0,0,0,0,0.14,0.55,0,0,0,0,0
