stage,Erythrocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,1,2,0,1,0
72hpf,0,0.28,0.56,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0,0
3Month,0,0,0,0,0.1,0,0.1
22Month,0,0,0,0,0.41,0,0
