stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.41,0,0,4.23,1.97,0,0,0,0.28,0,0,0,0,0,0
21Day,0.74,0.37,0.74,0.37,0,0,0,0,0.37,0.37,0,3.7,0.37,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.31,0,0,0,0.31,0.1,0.94,0.1,0.1,0.1,0.1,0,0,0.31,0.1,0.1,0.73,0.21,0,0,0.1,18.83,0.1
