stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,1.13,0,0,0,0,0.28,2.54,0,0,0.85,0,0.28,1.13,0,0,0
21Day,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0.37,0,0,0,0.37,4.07,0,0,0,0,0,0.74,0,0,3.33,0,0.74,0.37,0,0.37,0
3Month,0.1,0.31,0.1,2.29,0,0,0.73,0.73,0.1,0,4.47,0.62,0,1.56,0.73,0.52,0.83,1.56,0.94,0,0.1,0.31,0.21,0.1,0.31,0.21,0,0.94,37.65,0,0.21,123.05,1.04
22Month,0,0,0,0.55,0,0,0,0,0,0,0.96,0,0,0,0,0,0.14,1.37,0.14,0.14,0.14,0,0,0.14,0.41,0,0,0,8.2,0.14,0,0.55,0
