stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0
3Month,0.1,1.04,0.1,0.1,0.83,0.1,0.31,0.31,0.21,0.42,0.31,0.21,0.21,0,0,0.1,0,0.1,6.14,0.21,6.66,0.42
22Month,0,0,0,0.14,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0.14
