stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,2.25,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,5.18,0.37,1.48,0,0.37,0.37,0.37,29.23,4.81,0,1.11,0,0,0,0.74,0,2.96,1.11,0.37,0,0
3Month,0.1,0.31,0,0,0.21,0.83,0.1,0.1,7.18,0.31,0.1,0.21,0.21,0.1,0.21,0,0,0,0.1,0.31,0.52,0.21
22Month,0,0.14,0,0,0,2.19,0.41,0.27,8.61,0,0,0.14,0,0.27,0,0,0.14,0,0,0.14,0.14,0.14
