stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,1.97,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,4.07,0,0,0,0.74,1.85,0,0,0.37,0
3Month,0,0.1,0.1,0,0.42,0.1,0.1,0.1,0.1,0.21,0,0.21,0,0,0,0.1,0.1,0,0.21
22Month,0,0.27,0,0.14,0.55,0,0,0,0,0.27,0.14,0,0,0.14,0,0,0,0,0
