stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,0,0.28,13.53,0.56,0.28,0.28,0,0,0,0
21Day,0.37,0,0,0,0,0,0.74,0,0,0,0,0.74,6.29,0,0,0,0.37,0,0,0
3Month,0,0,0.1,0,0.31,0.21,0.1,0.31,0,0.31,0,0.21,0,0,0,0,0,0.42,0.21,0
22Month,0.14,0,0,0.14,2.6,0.14,0.41,0.41,0.14,0,0.55,0.27,0,0,0,0,0.14,0,0,0.14
