stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,4,19,0,0,3,0,0,0,0,0,0,0,0
72hpf,6.2,0.56,4.51,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,4.23,0.28,15.78,0,1.69,0,4.79,1.97,0,0,11.27,0,0,0.28,0,0.28,0,0,0
21Day,3.7,0.37,14.8,0,1.11,0,0.37,0,0,0,0,0,0.37,0,1.11,2.59,0,12.21,0,5.18,0,1.48,0.37,0,0.74,1.85,1.11,0,0,0.37,0,0,0,0
3Month,0.31,4.89,14.46,0.1,0,0.21,0.21,0.21,0.52,0,4.06,0.73,0.21,0.94,0.42,27.25,0.83,8.01,1.56,1.56,0.31,0.1,0,0.1,0.1,0.52,0,0.42,0,0,0,0.94,0.42,0.31
22Month,0,4.92,1.64,0,0,0.41,0.27,0,0.68,0.14,2.32,0.14,0.14,0.14,0.14,2.87,0.68,2.87,0,0.96,0,0.14,0,0,0,0,0,0,0.27,0,0,0,0,0
