stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0
21Day,1.11,0,0,0.74,0.37,0,0,0,0.37,0.74,0,0.37,0,0.37,0,0,0.37
3Month,0,0.83,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.42,0
22Month,0,0.68,0.14,0,0,0,0.82,0,0,0.27,0,0,0,0,0,0,0.14
