stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,4,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0.56,0,3.1,1.41,5.07,0,0.56,0
21Day,0,0.37,0.37,0.37,0,1.11,3.7,0.74,1.11,0.37,0,0.37
3Month,0.21,0,0,0,0.1,0,0,0,0,0.31,0,0
