stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Muscle_cell,Neural_cell
24hpf,0,0,0,0,0,0,0,0,1
3Month,0.52,0.1,0.1,0,0.1,0.21,0,0.1,0.1
22Month,0,0,0,0.41,0,0,0.14,0,0
