stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,1.41,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0,0.74,0,0,0,1.48,0,0,1.85,0,0,0
3Month,0,0.52,0.1,0.21,0,1.77,0.42,0.1,0.83,0.1,0.31,0.42,0.83,0.31,0.1,0,0.21,0,0.42,14.15,0.1,6.66,0.52
22Month,0,0.14,0,0.14,0.14,1.09,0,0,0.14,0,0,0.14,1.09,0,0,0.14,0.14,0.14,0,5.06,0,0.14,0.14
